Site,Date,Researcher1,Researcher2,Researcher3,Temperature_c,HumidityPer,WindSpeed,TimeStart,TimeEnd,TimeObs,Species,SpCount,Distance,Notes
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:40,HouseSparrow,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:41,DownyWoodpecker,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:41,HouseSparrow,5,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:49,BlueJay,2,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:56,AmericanRobin,2,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:57,HouseSparrow,6,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:58,AmericanRobin,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,11:58,HermitThrush,1,NA,Misidentified in Data Sheet
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:01,WhiteThroatedSparrow,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:06,DarkEyedJunco,8,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:10,HouseFinch,2,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:10,NorthernMockingbird,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:11,EuropeanStarling,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:11,AmericanGoldfinch,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:12,Mallard,4,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:13,SongSparrow,1,NA,
CrotonaPark,2023-11-05,Gaia,NA,NA,24,35.2,0.7,11:33,13:41,12:26,MuscovyDuck,1,NA,Weirdo keep watch of this park for resightings
